"[0, 1, 1, 0.37303485772605866, 4, 648203]","[0, 1, 1, 0.37303485772605866, 5, 525803]","[0, 1, 1, 0.37303485772605866, 14, 978485]","[0, 1, 1, 0.37303485772605866, 7, 135770]","[0, 1, 1, 0.37303485772605866, 7, 36168]"
"[0, 1, 3, 0.3448534105144003, 0, 0]","[0, 1, 3, 0.3448534105144003, 0, 0]","[0, 1, 3, 0.3448534105144003, 4, 3299884]","[0, 1, 3, 0.3448534105144003, 7, 63129]","[0, 1, 3, 0.3448534105144003, 5, 92806]"
"[0, 1, 0, 0.27197113488017616, 0, 0]","[0, 1, 0, 0.27197113488017616, 4, 458327]","[0, 1, 0, 0.27197113488017616, 5, 136304]","[0, 1, 0, 0.27197113488017616, 7, 72046]","[0, 1, 0, 0.27197113488017616, 4, 3299884]"
"[0, 1, 0, 0.16842997327099202, 0, 0]","[0, 1, 0, 0.16842997327099202, 0, 0]","[0, 1, 0, 0.16842997327099202, 0, 0]","[0, 1, 0, 0.16842997327099202, 0, 0]","[0, 1, 0, 0.16842997327099202, 4, 4203931]"
"[0, 1, 0, 0.1888974165420126, 0, 0]","[0, 1, 0, 0.1888974165420126, 0, 0]","[0, 1, 0, 0.1888974165420126, 0, 0]","[0, 1, 0, 0.1888974165420126, 0, 0]","[0, 1, 0, 0.1888974165420126, 4, 5404367]"
"[0, 1, 0, 0.1880500980979358, 0, 0]","[0, 1, 0, 0.1880500980979358, 0, 0]","[0, 1, 0, 0.1880500980979358, 0, 0]","[0, 1, 0, 0.1880500980979358, 0, 0]","[0, 1, 0, 0.1880500980979358, 0, 0]"
"[0, 1, 3, 0.32536056234264593, 0, 0]","[0, 1, 3, 0.32536056234264593, 0, 0]","[0, 1, 3, 0.32536056234264593, 4, 6527704]","[0, 1, 3, 0.32536056234264593, 7, 76370]","[0, 1, 3, 0.32536056234264593, 12, 48524]"
"[0, 1, 3, 0.27162244351638515, 0, 0]","[0, 1, 3, 0.27162244351638515, 0, 0]","[0, 1, 3, 0.27162244351638515, 12, 52034]","[0, 1, 3, 0.27162244351638515, 7, 77791]","[0, 1, 3, 0.27162244351638515, 4, 544587]"
"[0, 1, 3, 0.29668667431367934, 0, 0]","[0, 1, 3, 0.29668667431367934, 0, 0]","[0, 1, 3, 0.29668667431367934, 0, 0]","[0, 1, 3, 0.29668667431367934, 0, 0]","[0, 1, 3, 0.29668667431367934, 0, 0]"
"[0, 1, 3, 0.26965178856528893, 0, 0]","[0, 1, 3, 0.26965178856528893, 0, 0]","[0, 1, 3, 0.26965178856528893, 0, 0]","[0, 1, 3, 0.26965178856528893, 0, 0]","[0, 1, 3, 0.26965178856528893, 0, 0]"
