"[0, 1, 0, 0.31298796660880873, 4, 36525013]","[0, 1, 0, 0.31298796660880873, 5, 4359966]","[0, 1, 0, 0.31298796660880873, 2, 22]","[0, 1, 0, 0.31298796660880873, 5, 2391398]","[0, 1, 0, 0.31298796660880873, 7, 41809]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 2391398]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 2391398]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 2455451]","[0, 1, 0, 0.0, 7, 624250]","[0, 1, 0, 0.0, 5, 4388434]","[0, 1, 0, 0.0, 5, 1372712]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 4389755]","[0, 1, 0, 0.0, 7, 624997]","[0, 1, 0, 0.0, 5, 1860295]"
"[0, 1, 1, 0.20137920266405726, 0, 0]","[0, 1, 1, 0.20137920266405726, 0, 0]","[0, 1, 1, 0.20137920266405726, 7, 714010]","[0, 1, 1, 0.20137920266405726, 4, 30894924]","[0, 1, 1, 0.20137920266405726, 5, 2219829]"
"[0, 1, 2, 0.24011952268587106, 4, 31030576]","[0, 1, 2, 0.24011952268587106, 3, 24442]","[0, 1, 2, 0.24011952268587106, 5, 2516780]","[0, 1, 2, 0.24011952268587106, 7, 786288]","[0, 1, 2, 0.24011952268587106, 2, 2435]"
"[0, 1, 1, 0.14759384542949291, 0, 0]","[0, 1, 1, 0.14759384542949291, 2, 61200]","[0, 1, 1, 0.14759384542949291, 4, 31030576]","[0, 1, 1, 0.14759384542949291, 7, 790215]","[0, 1, 1, 0.14759384542949291, 2, 1034607]"
"[0, 1, 1, 0.7093175974052016, 0, 0]","[0, 1, 1, 0.7093175974052016, 0, 0]","[0, 1, 1, 0.7093175974052016, 2, 1144785]","[0, 1, 1, 0.7093175974052016, 7, 794046]","[0, 1, 1, 0.7093175974052016, 14, 2520114]"
"[0, 1, 0, 0.2206665581484804, 7, 270419]","[0, 1, 0, 0.2206665581484804, 3, 4138387]","[0, 1, 0, 0.2206665581484804, 5, 2573951]","[0, 1, 0, 0.2206665581484804, 2, 61200]","[0, 1, 0, 0.2206665581484804, 7, 856747]"
"[0, 1, 0, 0.17256401736616078, 0, 0]","[0, 1, 0, 0.17256401736616078, 0, 0]","[0, 1, 0, 0.17256401736616078, 0, 0]","[0, 1, 0, 0.17256401736616078, 0, 0]","[0, 1, 0, 0.17256401736616078, 0, 0]"
"[0, 1, 0, 0.1485500177257181, 0, 0]","[0, 1, 0, 0.1485500177257181, 0, 0]","[0, 1, 0, 0.1485500177257181, 0, 0]","[0, 1, 0, 0.1485500177257181, 0, 0]","[0, 1, 0, 0.1485500177257181, 3, 1286484]"
"[0, 1, 0, 0.3877732048805207, 0, 0]","[0, 1, 0, 0.3877732048805207, 0, 0]","[0, 1, 0, 0.3877732048805207, 5, 65221]","[0, 1, 0, 0.3877732048805207, 7, 34734]","[0, 1, 0, 0.3877732048805207, 3, 2733391]"
"[0, 1, 1, 0.14847277786024438, 0, 0]","[0, 1, 1, 0.14847277786024438, 4, 7007]","[0, 1, 1, 0.14847277786024438, 3, 3636066]","[0, 1, 1, 0.14847277786024438, 7, 40452]","[0, 1, 1, 0.14847277786024438, 5, 364298]"
"[0, 1, 1, 0.09333855419135327, 0, 0]","[0, 1, 1, 0.09333855419135327, 0, 0]","[0, 1, 1, 0.09333855419135327, 0, 0]","[0, 1, 1, 0.09333855419135327, 0, 0]","[0, 1, 1, 0.09333855419135327, 0, 0]"
"[0, 1, 1, 0.0933787370130425, 0, 0]","[0, 1, 1, 0.0933787370130425, 0, 0]","[0, 1, 1, 0.0933787370130425, 0, 0]","[0, 1, 1, 0.0933787370130425, 0, 0]","[0, 1, 1, 0.0933787370130425, 0, 0]"
"[0, 1, 1, 0.11078269627936467, 0, 0]","[0, 1, 1, 0.11078269627936467, 0, 0]","[0, 1, 1, 0.11078269627936467, 0, 0]","[0, 1, 1, 0.11078269627936467, 0, 0]","[0, 1, 1, 0.11078269627936467, 0, 0]"
"[0, 1, 1, 0.1098371020826578, 0, 0]","[0, 1, 1, 0.1098371020826578, 0, 0]","[0, 1, 1, 0.1098371020826578, 0, 0]","[0, 1, 1, 0.1098371020826578, 0, 0]","[0, 1, 1, 0.1098371020826578, 0, 0]"
"[0, 1, 1, 0.10829405157894229, 0, 0]","[0, 1, 1, 0.10829405157894229, 0, 0]","[0, 1, 1, 0.10829405157894229, 0, 0]","[0, 1, 1, 0.10829405157894229, 0, 0]","[0, 1, 1, 0.10829405157894229, 0, 0]"
"[0, 1, 1, 0.10626025804091224, 0, 0]","[0, 1, 1, 0.10626025804091224, 0, 0]","[0, 1, 1, 0.10626025804091224, 0, 0]","[0, 1, 1, 0.10626025804091224, 0, 0]","[0, 1, 1, 0.10626025804091224, 0, 0]"
"[0, 1, 1, 0.10594355062941123, 0, 0]","[0, 1, 1, 0.10594355062941123, 0, 0]","[0, 1, 1, 0.10594355062941123, 0, 0]","[0, 1, 1, 0.10594355062941123, 0, 0]","[0, 1, 1, 0.10594355062941123, 0, 0]"
"[0, 1, 1, 0.10466315542127462, 0, 0]","[0, 1, 1, 0.10466315542127462, 0, 0]","[0, 1, 1, 0.10466315542127462, 0, 0]","[0, 1, 1, 0.10466315542127462, 0, 0]","[0, 1, 1, 0.10466315542127462, 0, 0]"
"[0, 1, 1, 0.12010320302478267, 0, 0]","[0, 1, 1, 0.12010320302478267, 0, 0]","[0, 1, 1, 0.12010320302478267, 0, 0]","[0, 1, 1, 0.12010320302478267, 0, 0]","[0, 1, 1, 0.12010320302478267, 0, 0]"
"[0, 1, 1, 0.10803801633705404, 0, 0]","[0, 1, 1, 0.10803801633705404, 0, 0]","[0, 1, 1, 0.10803801633705404, 0, 0]","[0, 1, 1, 0.10803801633705404, 0, 0]","[0, 1, 1, 0.10803801633705404, 0, 0]"
"[0, 1, 1, 0.10380280980678948, 0, 0]","[0, 1, 1, 0.10380280980678948, 0, 0]","[0, 1, 1, 0.10380280980678948, 0, 0]","[0, 1, 1, 0.10380280980678948, 0, 0]","[0, 1, 1, 0.10380280980678948, 0, 0]"
"[0, 1, 1, 0.103814540615443, 0, 0]","[0, 1, 1, 0.103814540615443, 0, 0]","[0, 1, 1, 0.103814540615443, 0, 0]","[0, 1, 1, 0.103814540615443, 0, 0]","[0, 1, 1, 0.103814540615443, 0, 0]"
"[0, 1, 1, 0.10450073796294933, 0, 0]","[0, 1, 1, 0.10450073796294933, 0, 0]","[0, 1, 1, 0.10450073796294933, 0, 0]","[0, 1, 1, 0.10450073796294933, 0, 0]","[0, 1, 1, 0.10450073796294933, 0, 0]"
"[0, 1, 1, 0.10357863674213802, 0, 0]","[0, 1, 1, 0.10357863674213802, 0, 0]","[0, 1, 1, 0.10357863674213802, 0, 0]","[0, 1, 1, 0.10357863674213802, 0, 0]","[0, 1, 1, 0.10357863674213802, 0, 0]"
"[0, 1, 1, 0.09964194036035204, 0, 0]","[0, 1, 1, 0.09964194036035204, 0, 0]","[0, 1, 1, 0.09964194036035204, 0, 0]","[0, 1, 1, 0.09964194036035204, 0, 0]","[0, 1, 1, 0.09964194036035204, 0, 0]"
"[0, 1, 1, 0.09922875263771723, 0, 0]","[0, 1, 1, 0.09922875263771723, 0, 0]","[0, 1, 1, 0.09922875263771723, 0, 0]","[0, 1, 1, 0.09922875263771723, 0, 0]","[0, 1, 1, 0.09922875263771723, 0, 0]"
