"[0, 1, 3, 1.5684750352852979, 0, 0]","[0, 1, 3, 1.5684750352852979, 0, 0]","[0, 1, 3, 1.5684750352852979, 4, 692863]","[0, 1, 3, 1.5684750352852979, 7, 1572116]","[0, 1, 3, 1.5684750352852979, 7, 39977]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 1577432]","[0, 1, 0, 0.0, 4, 145330]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 1579775]","[0, 1, 0, 0.0, 5, 921928]","[0, 1, 0, 0.0, 4, 1458232]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 1582788]","[0, 1, 0, 0.0, 5, 1035560]","[0, 1, 0, 0.0, 4, 4263563]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 1037919]","[0, 1, 0, 0.0, 7, 1587827]","[0, 1, 0, 0.0, 14, 90714]","[0, 1, 0, 0.0, 4, 4754289]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 4, 5957294]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 1592918]","[0, 1, 0, 0.0, 5, 1150809]","[0, 1, 0, 0.0, 4, 6449912]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 1594585]","[0, 1, 0, 0.0, 5, 1217757]","[0, 1, 0, 0.0, 4, 7275480]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 4, 8627129]","[0, 1, 0, 0.0, 5, 1355085]","[0, 1, 0, 0.0, 7, 1598184]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 1600499]","[0, 1, 0, 0.0, 5, 1396862]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 1399581]","[0, 1, 0, 0.0, 7, 1603003]","[0, 1, 0, 0.0, 3, 432941]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 3, 756570]","[0, 1, 0, 0.0, 5, 1401297]","[0, 1, 0, 0.0, 7, 1605155]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 1641077]","[0, 1, 0, 0.0, 7, 1612033]","[0, 1, 0, 0.0, 4, 8633867]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 4, 9493478]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 4, 10504578]","[0, 1, 0, 0.0, 7, 1614062]","[0, 1, 0, 0.0, 5, 1693924]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 3, 851753]","[0, 1, 0, 0.0, 5, 1940547]","[0, 1, 0, 0.0, 7, 1616513]","[0, 1, 0, 0.0, 4, 692863]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 4, 2151816]","[0, 1, 0, 0.0, 7, 1617643]","[0, 1, 0, 0.0, 5, 2056371]"
