"[0, 1, 1, 0.10071026293927277, 4, 1802472]","[0, 1, 1, 0.10071026293927277, 5, 262302]","[0, 1, 1, 0.10071026293927277, 14, 1613443]","[0, 1, 1, 0.10071026293927277, 7, 94330]","[0, 1, 1, 0.10071026293927277, 7, 69764]"
"[0, 1, 0, 0.32797336854924264, 14, 849393]","[0, 1, 0, 0.32797336854924264, 3, 803889]","[0, 1, 0, 0.32797336854924264, 3, 3246932]","[0, 1, 0, 0.32797336854924264, 5, 832779]","[0, 1, 0, 0.32797336854924264, 7, 126932]"
"[0, 1, 1, 0.08318445052054335, 3, 3572053]","[0, 1, 1, 0.08318445052054335, 5, 36393]","[0, 1, 1, 0.08318445052054335, 14, 860332]","[0, 1, 1, 0.08318445052054335, 7, 139627]","[0, 1, 1, 0.08318445052054335, 5, 1352830]"
"[1, 1, 0, 0.745227228472462, 0, 0]","[1, 1, 0, 0.745227228472462, 5, 2238130]","[1, 1, 0, 0.745227228472462, 5, 54741]","[1, 1, 0, 0.745227228472462, 7, 147070]","[1, 1, 0, 0.745227228472462, 3, 3662494]"
"[0, 1, 0, 0.10929292512591875, 0, 0]","[0, 1, 0, 0.10929292512591875, 8, 18547]","[0, 1, 0, 0.10929292512591875, 3, 4088884]","[0, 1, 0, 0.10929292512591875, 5, 2564099]","[0, 1, 0, 0.10929292512591875, 7, 167888]"
"[0, 1, 0, 0.15298593854050582, 11, 5525]","[0, 1, 0, 0.15298593854050582, 8, 59942]","[0, 1, 0, 0.15298593854050582, 3, 4273441]","[0, 1, 0, 0.15298593854050582, 7, 204379]","[0, 1, 0, 0.15298593854050582, 5, 2609761]"
"[1, 1, 0, 0.4779908277635523, 0, 0]","[1, 1, 0, 0.4779908277635523, 2, 4081]","[1, 1, 0, 0.4779908277635523, 14, 996446]","[1, 1, 0, 0.4779908277635523, 7, 212473]","[1, 1, 0, 0.4779908277635523, 5, 2947017]"
"[0, 1, 0, 0.13075728605490536, 0, 0]","[0, 1, 0, 0.13075728605490536, 0, 0]","[0, 1, 0, 0.13075728605490536, 0, 0]","[0, 1, 0, 0.13075728605490536, 7, 215780]","[0, 1, 0, 0.13075728605490536, 5, 3054947]"
"[0, 1, 0, 0.12973988673080078, 0, 0]","[0, 1, 0, 0.12973988673080078, 0, 0]","[0, 1, 0, 0.12973988673080078, 0, 0]","[0, 1, 0, 0.12973988673080078, 5, 3061921]","[0, 1, 0, 0.12973988673080078, 7, 220999]"
"[0, 1, 1, 0.028306223677213922, 0, 0]","[0, 1, 1, 0.028306223677213922, 0, 0]","[0, 1, 1, 0.028306223677213922, 0, 0]","[0, 1, 1, 0.028306223677213922, 5, 3063950]","[0, 1, 1, 0.028306223677213922, 7, 223415]"
"[0, 1, 0, 0.2745295973868082, 5, 77576]","[0, 1, 0, 0.2745295973868082, 5, 3196264]","[0, 1, 0, 0.2745295973868082, 3, 4606394]","[0, 1, 0, 0.2745295973868082, 7, 239964]","[0, 1, 0, 0.2745295973868082, 3, 813869]"
"[0, 1, 0, 0.014615546700891355, 0, 0]","[0, 1, 0, 0.014615546700891355, 3, 1089412]","[0, 1, 0, 0.014615546700891355, 13, 60541]","[0, 1, 0, 0.014615546700891355, 5, 3234114]","[0, 1, 0, 0.014615546700891355, 7, 252401]"
"[1, 1, 1, 0.32450394534993354, 0, 0]","[1, 1, 1, 0.32450394534993354, 0, 0]","[1, 1, 1, 0.32450394534993354, 0, 0]","[1, 1, 1, 0.32450394534993354, 0, 0]","[1, 1, 1, 0.32450394534993354, 14, 1062282]"
"[0, 1, 1, 0.10865236863028722, 0, 0]","[0, 1, 1, 0.10865236863028722, 3, 4717948]","[0, 1, 1, 0.10865236863028722, 14, 1079492]","[0, 1, 1, 0.10865236863028722, 7, 263233]","[0, 1, 1, 0.10865236863028722, 5, 3250665]"
"[0, 1, 0, 0.29516816015414116, 0, 0]","[0, 1, 0, 0.29516816015414116, 0, 0]","[0, 1, 0, 0.29516816015414116, 5, 3252559]","[0, 1, 0, 0.29516816015414116, 7, 268352]","[0, 1, 0, 0.29516816015414116, 3, 4750197]"
"[0, 1, 0, 0.2960602950583596, 0, 0]","[0, 1, 0, 0.2960602950583596, 0, 0]","[0, 1, 0, 0.2960602950583596, 0, 0]","[0, 1, 0, 0.2960602950583596, 0, 0]","[0, 1, 0, 0.2960602950583596, 0, 0]"
"[0, 1, 0, 0.29679344743520375, 0, 0]","[0, 1, 0, 0.29679344743520375, 0, 0]","[0, 1, 0, 0.29679344743520375, 0, 0]","[0, 1, 0, 0.29679344743520375, 0, 0]","[0, 1, 0, 0.29679344743520375, 0, 0]"
