"[0, 1, 3, 0.29684579074891765, 6, 35834]","[0, 1, 3, 0.29684579074891765, 5, 448411]","[0, 1, 3, 0.29684579074891765, 2, 3659]","[0, 1, 3, 0.29684579074891765, 14, 764592]","[0, 1, 3, 0.29684579074891765, 7, 152822]"
"[0, 1, 1, 0.17371805675527216, 0, 0]","[0, 1, 1, 0.17371805675527216, 0, 0]","[0, 1, 1, 0.17371805675527216, 4, 30048257]","[0, 1, 1, 0.17371805675527216, 3, 146614]","[0, 1, 1, 0.17371805675527216, 5, 548965]"
"[0, 2, 1, 1.3754331382692737, 0, 0]","[0, 2, 1, 1.3754331382692737, 0, 0]","[0, 2, 1, 1.3754331382692737, 0, 0]","[0, 2, 1, 1.3754331382692737, 0, 0]","[0, 2, 1, 1.3754331382692737, 5, 606877]"
"[1, 1, 1, 0.32322085482141005, 0, 0]","[1, 1, 1, 0.32322085482141005, 0, 0]","[1, 1, 1, 0.32322085482141005, 0, 0]","[1, 1, 1, 0.32322085482141005, 0, 0]","[1, 1, 1, 0.32322085482141005, 0, 0]"
"[0, 1, 3, 2.5314438042584886, 0, 0]","[0, 1, 3, 2.5314438042584886, 0, 0]","[0, 1, 3, 2.5314438042584886, 0, 0]","[0, 1, 3, 2.5314438042584886, 0, 0]","[0, 1, 3, 2.5314438042584886, 5, 1144531]"
"[0, 1, 3, 0.30715425865315116, 0, 0]","[0, 1, 3, 0.30715425865315116, 0, 0]","[0, 1, 3, 0.30715425865315116, 1, 6454]","[0, 1, 3, 0.30715425865315116, 5, 1342992]","[0, 1, 3, 0.30715425865315116, 14, 1053692]"
"[0, 1, 3, 0.2860239026965281, 0, 0]","[0, 1, 3, 0.2860239026965281, 0, 0]","[0, 1, 3, 0.2860239026965281, 0, 0]","[0, 1, 3, 0.2860239026965281, 14, 1176048]","[0, 1, 3, 0.2860239026965281, 7, 3448]"
"[0, 1, 3, 0.3297022107759791, 0, 0]","[0, 1, 3, 0.3297022107759791, 0, 0]","[0, 1, 3, 0.3297022107759791, 0, 0]","[0, 1, 3, 0.3297022107759791, 0, 0]","[0, 1, 3, 0.3297022107759791, 5, 1342992]"
"[0, 1, 0, 2.3171500105874268, 0, 0]","[0, 1, 0, 2.3171500105874268, 0, 0]","[0, 1, 0, 2.3171500105874268, 5, 1513594]","[0, 1, 0, 2.3171500105874268, 7, 44870]","[0, 1, 0, 2.3171500105874268, 14, 1217502]"
"[0, 1, 3, 2.538792512239153, 0, 0]","[0, 1, 3, 2.538792512239153, 0, 0]","[0, 1, 3, 2.538792512239153, 5, 1513594]","[0, 1, 3, 2.538792512239153, 14, 2197256]","[0, 1, 3, 2.538792512239153, 4, 1480]"
