"[0, 1, 0, 0.2227700191675251, 4, 1329054]","[0, 1, 0, 0.2227700191675251, 14, 183437]","[0, 1, 0, 0.2227700191675251, 5, 2491782]","[0, 1, 0, 0.2227700191675251, 7, 172665]","[0, 1, 0, 0.2227700191675251, 7, 11403]"
"[0, 1, 1, 0.17464896290349732, 0, 0]","[0, 1, 1, 0.17464896290349732, 0, 0]","[0, 1, 1, 0.17464896290349732, 0, 0]","[0, 1, 1, 0.17464896290349732, 0, 0]","[0, 1, 1, 0.17464896290349732, 4, 1251034]"
"[0, 2, 0, 1.2406482131717187, 0, 0]","[0, 2, 0, 1.2406482131717187, 14, 108123]","[0, 2, 0, 1.2406482131717187, 5, 127368]","[0, 2, 0, 1.2406482131717187, 7, 287587]","[0, 2, 0, 1.2406482131717187, 5, 2179738]"
"[1, 1, 0, 0.5988974355028693, 0, 0]","[1, 1, 0, 0.5988974355028693, 0, 0]","[1, 1, 0, 0.5988974355028693, 5, 61835]","[1, 1, 0, 0.5988974355028693, 7, 2455]","[1, 1, 0, 0.5988974355028693, 3, 213526]"
"[0, 1, 3, 0.35217823634270184, 0, 0]","[0, 1, 3, 0.35217823634270184, 0, 0]","[0, 1, 3, 0.35217823634270184, 4, 417967]","[0, 1, 3, 0.35217823634270184, 7, 41660]","[0, 1, 3, 0.35217823634270184, 5, 109885]"
"[0, 1, 1, 0.12070474946677082, 0, 0]","[0, 1, 1, 0.12070474946677082, 0, 0]","[0, 1, 1, 0.12070474946677082, 0, 0]","[0, 1, 1, 0.12070474946677082, 0, 0]","[0, 1, 1, 0.12070474946677082, 0, 0]"
"[0, 1, 1, 0.10481605266923814, 0, 0]","[0, 1, 1, 0.10481605266923814, 0, 0]","[0, 1, 1, 0.10481605266923814, 5, 291005]","[0, 1, 1, 0.10481605266923814, 7, 51060]","[0, 1, 1, 0.10481605266923814, 3, 449453]"
"[0, 1, 3, 0.36607220138872626, 0, 0]","[0, 1, 3, 0.36607220138872626, 0, 0]","[0, 1, 3, 0.36607220138872626, 0, 0]","[0, 1, 3, 0.36607220138872626, 0, 0]","[0, 1, 3, 0.36607220138872626, 4, 17466746]"
"[0, 1, 3, 0.3750747896613534, 0, 0]","[0, 1, 3, 0.3750747896613534, 0, 0]","[0, 1, 3, 0.3750747896613534, 0, 0]","[0, 1, 3, 0.3750747896613534, 7, 190540]","[0, 1, 3, 0.3750747896613534, 4, 66793]"
"[0, 1, 0, 0.2784324115908337, 8, 23789]","[0, 1, 0, 0.2784324115908337, 5, 1427012]","[0, 1, 0, 0.2784324115908337, 3, 3739590]","[0, 1, 0, 0.2784324115908337, 7, 186782]","[0, 1, 0, 0.2784324115908337, 4, 2931297]"
"[0, 2, 0, 1.0856872017610848, 0, 0]","[0, 2, 0, 1.0856872017610848, 0, 0]","[0, 2, 0, 1.0856872017610848, 0, 0]","[0, 2, 0, 1.0856872017610848, 7, 198637]","[0, 2, 0, 1.0856872017610848, 5, 1438428]"
