"[0, 1, 0, 0.3045354589072341, 5, 3803667]","[0, 1, 0, 0.3045354589072341, 2, 30849]","[0, 1, 0, 0.3045354589072341, 5, 90840]","[0, 1, 0, 0.3045354589072341, 7, 302417]","[0, 1, 0, 0.3045354589072341, 7, 77106]"
"[0, 1, 0, 0.2904839042808536, 0, 0]","[0, 1, 0, 0.2904839042808536, 0, 0]","[0, 1, 0, 0.2904839042808536, 7, 1011355]","[0, 1, 0, 0.2904839042808536, 5, 3142415]","[0, 1, 0, 0.2904839042808536, 7, 522568]"
"[1, 1, 3, 0.2926587978869027, 0, 0]","[1, 1, 3, 0.2926587978869027, 0, 0]","[1, 1, 3, 0.2926587978869027, 0, 0]","[1, 1, 3, 0.2926587978869027, 5, 3154503]","[1, 1, 3, 0.2926587978869027, 7, 542966]"
"[1, 1, 3, 0.2957277447015647, 0, 0]","[1, 1, 3, 0.2957277447015647, 0, 0]","[1, 1, 3, 0.2957277447015647, 0, 0]","[1, 1, 3, 0.2957277447015647, 0, 0]","[1, 1, 3, 0.2957277447015647, 0, 0]"
"[1, 1, 3, 0.2958218633249504, 0, 0]","[1, 1, 3, 0.2958218633249504, 0, 0]","[1, 1, 3, 0.2958218633249504, 0, 0]","[1, 1, 3, 0.2958218633249504, 0, 0]","[1, 1, 3, 0.2958218633249504, 5, 837394]"
"[0, 1, 3, 0.29453504686241666, 0, 0]","[0, 1, 3, 0.29453504686241666, 0, 0]","[0, 1, 3, 0.29453504686241666, 0, 0]","[0, 1, 3, 0.29453504686241666, 0, 0]","[0, 1, 3, 0.29453504686241666, 0, 0]"
"[0, 1, 3, 0.29510860099085756, 0, 0]","[0, 1, 3, 0.29510860099085756, 0, 0]","[0, 1, 3, 0.29510860099085756, 0, 0]","[0, 1, 3, 0.29510860099085756, 0, 0]","[0, 1, 3, 0.29510860099085756, 0, 0]"
"[0, 1, 3, 0.297158682816835, 0, 0]","[0, 1, 3, 0.297158682816835, 0, 0]","[0, 1, 3, 0.297158682816835, 0, 0]","[0, 1, 3, 0.297158682816835, 0, 0]","[0, 1, 3, 0.297158682816835, 0, 0]"
"[0, 1, 3, 0.296409857942523, 0, 0]","[0, 1, 3, 0.296409857942523, 0, 0]","[0, 1, 3, 0.296409857942523, 0, 0]","[0, 1, 3, 0.296409857942523, 0, 0]","[0, 1, 3, 0.296409857942523, 0, 0]"
"[0, 1, 3, 0.2940292828092725, 0, 0]","[0, 1, 3, 0.2940292828092725, 0, 0]","[0, 1, 3, 0.2940292828092725, 0, 0]","[0, 1, 3, 0.2940292828092725, 0, 0]","[0, 1, 3, 0.2940292828092725, 0, 0]"
"[0, 1, 3, 0.2944756598171182, 0, 0]","[0, 1, 3, 0.2944756598171182, 0, 0]","[0, 1, 3, 0.2944756598171182, 0, 0]","[0, 1, 3, 0.2944756598171182, 0, 0]","[0, 1, 3, 0.2944756598171182, 0, 0]"
"[0, 1, 3, 0.29503473690833115, 0, 0]","[0, 1, 3, 0.29503473690833115, 0, 0]","[0, 1, 3, 0.29503473690833115, 0, 0]","[0, 1, 3, 0.29503473690833115, 0, 0]","[0, 1, 3, 0.29503473690833115, 0, 0]"
"[0, 1, 0, 0.360916807650637, 5, 847860]","[0, 1, 0, 0.360916807650637, 3, 737903]","[0, 1, 0, 0.360916807650637, 7, 554778]","[0, 1, 0, 0.360916807650637, 14, 3192759]","[0, 1, 0, 0.360916807650637, 5, 3241315]"
"[1, 1, 0, 0.3907091274382242, 0, 0]","[1, 1, 0, 0.3907091274382242, 0, 0]","[1, 1, 0, 0.3907091274382242, 5, 288661]","[1, 1, 0, 0.3907091274382242, 7, 131510]","[1, 1, 0, 0.3907091274382242, 3, 953392]"
"[1, 1, 0, 1.6741835986686167, 0, 0]","[1, 1, 0, 1.6741835986686167, 5, 1802835]","[1, 1, 0, 1.6741835986686167, 3, 1242531]","[1, 1, 0, 1.6741835986686167, 14, 196254]","[1, 1, 0, 1.6741835986686167, 7, 189093]"
"[0, 1, 1, 0.2268693731754156, 0, 0]","[0, 1, 1, 0.2268693731754156, 0, 0]","[0, 1, 1, 0.2268693731754156, 0, 0]","[0, 1, 1, 0.2268693731754156, 5, 3147770]","[0, 1, 1, 0.2268693731754156, 7, 753994]"
"[0, 1, 1, 0.18443825081929816, 0, 0]","[0, 1, 1, 0.18443825081929816, 0, 0]","[0, 1, 1, 0.18443825081929816, 0, 0]","[0, 1, 1, 0.18443825081929816, 0, 0]","[0, 1, 1, 0.18443825081929816, 7, 165094]"
"[0, 1, 0, 0.37797810978377405, 0, 0]","[0, 1, 0, 0.37797810978377405, 0, 0]","[0, 1, 0, 0.37797810978377405, 7, 307172]","[0, 1, 0, 0.37797810978377405, 14, 36187]","[0, 1, 0, 0.37797810978377405, 14, 805324]"
"[0, 1, 0, 0.127089644850552, 0, 0]","[0, 1, 0, 0.127089644850552, 0, 0]","[0, 1, 0, 0.127089644850552, 14, 1529035]","[0, 1, 0, 0.127089644850552, 7, 11680]","[0, 1, 0, 0.127089644850552, 2, 179466]"
"[1, 2, 0, 1.3656032858815397, 1, 55134]","[1, 2, 0, 1.3656032858815397, 8, 567828]","[1, 2, 0, 1.3656032858815397, 5, 21584]","[1, 2, 0, 1.3656032858815397, 5, 4719248]","[1, 2, 0, 1.3656032858815397, 7, 190023]"
"[1, 1, 0, 0.08310706742221757, 0, 0]","[1, 1, 0, 0.08310706742221757, 5, 45016]","[1, 1, 0, 0.08310706742221757, 3, 577390]","[1, 1, 0, 0.08310706742221757, 5, 4999697]","[1, 1, 0, 0.08310706742221757, 7, 654778]"
"[1, 1, 0, 0.12069965755031112, 0, 0]","[1, 1, 0, 0.12069965755031112, 0, 0]","[1, 1, 0, 0.12069965755031112, 0, 0]","[1, 1, 0, 0.12069965755031112, 7, 657196]","[1, 1, 0, 0.12069965755031112, 5, 5031386]"
"[0, 1, 3, 0.3729919926342952, 0, 0]","[0, 1, 3, 0.3729919926342952, 2, 376047]","[0, 1, 3, 0.3729919926342952, 7, 663630]","[0, 1, 3, 0.3729919926342952, 8, 651314]","[0, 1, 3, 0.3729919926342952, 5, 5058881]"
"[0, 2, 0, 2.3909876212754386, 0, 0]","[0, 2, 0, 2.3909876212754386, 0, 0]","[0, 2, 0, 2.3909876212754386, 0, 0]","[0, 2, 0, 2.3909876212754386, 8, 654284]","[0, 2, 0, 2.3909876212754386, 5, 5695644]"
"[1, 1, 0, 2.032488520193173, 0, 0]","[1, 1, 0, 2.032488520193173, 5, 500981]","[1, 1, 0, 2.032488520193173, 5, 5700944]","[1, 1, 0, 2.032488520193173, 7, 665463]","[1, 1, 0, 2.032488520193173, 8, 654284]"
"[1, 1, 0, 0.2347844281046664, 0, 0]","[1, 1, 0, 0.2347844281046664, 0, 0]","[1, 1, 0, 0.2347844281046664, 8, 992055]","[1, 1, 0, 0.2347844281046664, 7, 669937]","[1, 1, 0, 0.2347844281046664, 5, 5725515]"
"[1, 1, 0, 0.19571553501024072, 0, 0]","[1, 1, 0, 0.19571553501024072, 0, 0]","[1, 1, 0, 0.19571553501024072, 0, 0]","[1, 1, 0, 0.19571553501024072, 0, 0]","[1, 1, 0, 0.19571553501024072, 0, 0]"
"[1, 1, 0, 0.6274284875161592, 0, 0]","[1, 1, 0, 0.6274284875161592, 0, 0]","[1, 1, 0, 0.6274284875161592, 5, 5731614]","[1, 1, 0, 0.6274284875161592, 8, 1485228]","[1, 1, 0, 0.6274284875161592, 7, 671369]"
"[0, 1, 3, 0.3759558772829636, 3, 598913]","[0, 1, 3, 0.3759558772829636, 8, 108660]","[0, 1, 3, 0.3759558772829636, 14, 125085]","[0, 1, 3, 0.3759558772829636, 5, 6093108]","[0, 1, 3, 0.3759558772829636, 7, 811342]"
