"[0, 1, 3, 2.1233046202365538, 0, 0]","[0, 1, 3, 2.1233046202365538, 0, 0]","[0, 1, 3, 2.1233046202365538, 7, 222064]","[0, 1, 3, 2.1233046202365538, 5, 836600]","[0, 1, 3, 2.1233046202365538, 7, 32267]"
"[0, 1, 1, 0.195063768046899, 0, 0]","[0, 1, 1, 0.195063768046899, 0, 0]","[0, 1, 1, 0.195063768046899, 0, 0]","[0, 1, 1, 0.195063768046899, 0, 0]","[0, 1, 1, 0.195063768046899, 0, 0]"
"[0, 1, 2, 1.9091882441093548, 0, 0]","[0, 1, 2, 1.9091882441093548, 0, 0]","[0, 1, 2, 1.9091882441093548, 3, 186074]","[0, 1, 2, 1.9091882441093548, 7, 241113]","[0, 1, 2, 1.9091882441093548, 5, 872068]"
"[1, 1, 1, 0.6572859242354533, 0, 0]","[1, 1, 1, 0.6572859242354533, 0, 0]","[1, 1, 1, 0.6572859242354533, 4, 9627234]","[1, 1, 1, 0.6572859242354533, 14, 545254]","[1, 1, 1, 0.6572859242354533, 7, 629514]"
"[0, 1, 0, 1.9779864355878314, 0, 0]","[0, 1, 0, 1.9779864355878314, 0, 0]","[0, 1, 0, 1.9779864355878314, 7, 339864]","[0, 1, 0, 1.9779864355878314, 4, 15785748]","[0, 1, 0, 1.9779864355878314, 5, 1120075]"
"[0, 1, 0, 0.6100748740813823, 0, 0]","[0, 1, 0, 0.6100748740813823, 0, 0]","[0, 1, 0, 0.6100748740813823, 0, 0]","[0, 1, 0, 0.6100748740813823, 7, 346217]","[0, 1, 0, 0.6100748740813823, 4, 15920032]"
"[0, 1, 1, 1.7229050240485033, 0, 0]","[0, 1, 1, 1.7229050240485033, 7, 349915]","[0, 1, 1, 1.7229050240485033, 3, 558501]","[0, 1, 1, 1.7229050240485033, 5, 1202744]","[0, 1, 1, 1.7229050240485033, 4, 17392779]"
"[0, 1, 1, 0.43611384143703885, 0, 0]","[0, 1, 1, 0.43611384143703885, 0, 0]","[0, 1, 1, 0.43611384143703885, 0, 0]","[0, 1, 1, 0.43611384143703885, 0, 0]","[0, 1, 1, 0.43611384143703885, 4, 17666499]"
"[0, 1, 1, 0.04848588330563359, 0, 0]","[0, 1, 1, 0.04848588330563359, 0, 0]","[0, 1, 1, 0.04848588330563359, 5, 1228487]","[0, 1, 1, 0.04848588330563359, 7, 350617]","[0, 1, 1, 0.04848588330563359, 4, 18918844]"
"[0, 1, 0, 0.1908765184442373, 0, 0]","[0, 1, 0, 0.1908765184442373, 0, 0]","[0, 1, 0, 0.1908765184442373, 0, 0]","[0, 1, 0, 0.1908765184442373, 5, 1257021]","[0, 1, 0, 0.1908765184442373, 4, 20162167]"
"[0, 1, 0, 1.9253817124841368, 0, 0]","[0, 1, 0, 1.9253817124841368, 0, 0]","[0, 1, 0, 1.9253817124841368, 0, 0]","[0, 1, 0, 1.9253817124841368, 4, 20164114]","[0, 1, 0, 1.9253817124841368, 7, 350617]"
"[0, 1, 3, 0.3791131671708804, 0, 0]","[0, 1, 3, 0.3791131671708804, 0, 0]","[0, 1, 3, 0.3791131671708804, 3, 690509]","[0, 1, 3, 0.3791131671708804, 5, 1278696]","[0, 1, 3, 0.3791131671708804, 7, 381148]"
"[0, 1, 1, 0.1676495570092372, 0, 0]","[0, 1, 1, 0.1676495570092372, 0, 0]","[0, 1, 1, 0.1676495570092372, 5, 1337108]","[0, 1, 1, 0.1676495570092372, 7, 416593]","[0, 1, 1, 0.1676495570092372, 4, 20559898]"
"[0, 1, 1, 0.18618649457124611, 0, 0]","[0, 1, 1, 0.18618649457124611, 0, 0]","[0, 1, 1, 0.18618649457124611, 0, 0]","[0, 1, 1, 0.18618649457124611, 0, 0]","[0, 1, 1, 0.18618649457124611, 4, 21172583]"
