"[1, 1, 0, 0.42557143473564085, 3, 449193]","[1, 1, 0, 0.42557143473564085, 3, 91745]","[1, 1, 0, 0.42557143473564085, 5, 1897153]","[1, 1, 0, 0.42557143473564085, 7, 486346]","[1, 1, 0, 0.42557143473564085, 7, 94217]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 7, 493961]","[0, 1, 0, 0.0, 5, 2006442]"
"[0, 2, 0, 0.3215366623715075, 0, 0]","[0, 2, 0, 0.3215366623715075, 3, 336735]","[0, 2, 0, 0.3215366623715075, 5, 808861]","[0, 2, 0, 0.3215366623715075, 2, 7960]","[0, 2, 0, 0.3215366623715075, 7, 205671]"
"[0, 1, 0, 0.5950099233923833, 6, 1194097]","[0, 1, 0, 0.5950099233923833, 5, 50781]","[0, 1, 0, 0.5950099233923833, 8, 114675]","[0, 1, 0, 0.5950099233923833, 7, 255843]","[0, 1, 0, 0.5950099233923833, 5, 1090177]"
"[0, 1, 1, 1.0669897602757197, 13, 17091]","[0, 1, 1, 1.0669897602757197, 9, 123973]","[0, 1, 1, 1.0669897602757197, 5, 99115]","[0, 1, 1, 1.0669897602757197, 5, 2286078]","[0, 1, 1, 1.0669897602757197, 7, 599333]"
"[0, 1, 0, 2.0044215412920954, 0, 0]","[0, 1, 0, 2.0044215412920954, 14, 897683]","[0, 1, 0, 2.0044215412920954, 5, 105481]","[0, 1, 0, 2.0044215412920954, 7, 609425]","[0, 1, 0, 2.0044215412920954, 5, 2425053]"
"[0, 1, 3, 0.35812285527919535, 0, 0]","[0, 1, 3, 0.35812285527919535, 3, 179715]","[0, 1, 3, 0.35812285527919535, 5, 240527]","[0, 1, 3, 0.35812285527919535, 14, 42637]","[0, 1, 3, 0.35812285527919535, 7, 294241]"
"[0, 1, 0, 0.19560924983703276, 10, 155751]","[0, 1, 0, 0.19560924983703276, 3, 257744]","[0, 1, 0, 0.19560924983703276, 14, 174747]","[0, 1, 0, 0.19560924983703276, 5, 270379]","[0, 1, 0, 0.19560924983703276, 7, 437904]"
"[0, 1, 0, 0.36790691887991134, 0, 0]","[0, 1, 0, 0.36790691887991134, 4, 672070]","[0, 1, 0, 0.36790691887991134, 14, 378980]","[0, 1, 0, 0.36790691887991134, 3, 343769]","[0, 1, 0, 0.36790691887991134, 7, 447296]"
"[0, 1, 1, 0.15337153618670185, 4, 898393]","[0, 1, 1, 0.15337153618670185, 14, 610125]","[0, 1, 1, 0.15337153618670185, 8, 35060]","[0, 1, 1, 0.15337153618670185, 7, 453512]","[0, 1, 1, 0.15337153618670185, 5, 295097]"
"[0, 1, 0, 2.2360242613993337, 3, 21946]","[0, 1, 0, 2.2360242613993337, 5, 305375]","[0, 1, 0, 2.2360242613993337, 3, 261660]","[0, 1, 0, 2.2360242613993337, 7, 478610]","[0, 1, 0, 2.2360242613993337, 14, 669615]"
"[1, 1, 1, 0.5808269632676861, 0, 0]","[1, 1, 1, 0.5808269632676861, 7, 56331]","[1, 1, 1, 0.5808269632676861, 6, 240230]","[1, 1, 1, 0.5808269632676861, 5, 1167126]","[1, 1, 1, 0.5808269632676861, 7, 381060]"
"[0, 1, 1, 0.0773476328936663, 2, 11686]","[0, 1, 1, 0.0773476328936663, 2, 3381]","[0, 1, 1, 0.0773476328936663, 7, 70111]","[0, 1, 1, 0.0773476328936663, 7, 388573]","[0, 1, 1, 0.0773476328936663, 5, 1336607]"
"[0, 1, 1, 0.6787096378847753, 5, 1353634]","[0, 1, 1, 0.6787096378847753, 7, 392496]","[0, 1, 1, 0.6787096378847753, 2, 23618]","[0, 1, 1, 0.6787096378847753, 2, 10944]","[0, 1, 1, 0.6787096378847753, 2, 7897]"
"[0, 1, 0, 0.31966800459430106, 0, 0]","[0, 1, 0, 0.31966800459430106, 5, 30166]","[0, 1, 0, 0.31966800459430106, 5, 477721]","[0, 1, 0, 0.31966800459430106, 9, 796413]","[0, 1, 0, 0.31966800459430106, 7, 74311]"
"[0, 1, 0, 0.313339585424502, 2, 183456]","[0, 1, 0, 0.313339585424502, 2, 681]","[0, 1, 0, 0.313339585424502, 14, 88959]","[0, 1, 0, 0.313339585424502, 2, 460768]","[0, 1, 0, 0.313339585424502, 7, 209336]"
"[0, 1, 0, 0.576129232335713, 10, 37450]","[0, 1, 0, 0.576129232335713, 9, 917787]","[0, 1, 0, 0.576129232335713, 5, 81721]","[0, 1, 0, 0.576129232335713, 7, 241301]","[0, 1, 0, 0.576129232335713, 5, 641320]"
"[0, 1, 0, 0.29494660207214407, 3, 110532]","[0, 1, 0, 0.29494660207214407, 4, 111438]","[0, 1, 0, 0.29494660207214407, 7, 311032]","[0, 1, 0, 0.29494660207214407, 2, 189763]","[0, 1, 0, 0.29494660207214407, 4, 102509]"
"[0, 1, 1, 0.696740701103967, 4, 205129]","[0, 1, 1, 0.696740701103967, 2, 694924]","[0, 1, 1, 0.696740701103967, 3, 228651]","[0, 1, 1, 0.696740701103967, 7, 324837]","[0, 1, 1, 0.696740701103967, 2, 337683]"
"[0, 1, 1, 0.10570605242954442, 0, 0]","[0, 1, 1, 0.10570605242954442, 2, 24209]","[0, 1, 1, 0.10570605242954442, 5, 977335]","[0, 1, 1, 0.10570605242954442, 7, 346550]","[0, 1, 1, 0.10570605242954442, 2, 443337]"
