"[0, 1, 3, 1.891456783394952, 0, 0]","[0, 1, 3, 1.891456783394952, 4, 2735]","[0, 1, 3, 1.891456783394952, 5, 46570]","[0, 1, 3, 1.891456783394952, 7, 30174]","[0, 1, 3, 1.891456783394952, 7, 23354]"
"[0, 1, 1, 0.4285285527348709, 14, 1145361]","[0, 1, 1, 0.4285285527348709, 4, 1089320]","[0, 1, 1, 0.4285285527348709, 3, 198320]","[0, 1, 1, 0.4285285527348709, 5, 3500331]","[0, 1, 1, 0.4285285527348709, 7, 392732]"
"[0, 2, 0, 1.6155029678102217, 0, 0]","[0, 2, 0, 1.6155029678102217, 0, 0]","[0, 2, 0, 1.6155029678102217, 5, 3807190]","[0, 2, 0, 1.6155029678102217, 7, 408579]","[0, 2, 0, 1.6155029678102217, 4, 1163354]"
"[0, 1, 0, 0.2964159442651563, 0, 0]","[0, 1, 0, 0.2964159442651563, 0, 0]","[0, 1, 0, 0.2964159442651563, 0, 0]","[0, 1, 0, 0.2964159442651563, 0, 0]","[0, 1, 0, 0.2964159442651563, 4, 1177119]"
"[0, 1, 1, 0.17183859098069454, 0, 0]","[0, 1, 1, 0.17183859098069454, 0, 0]","[0, 1, 1, 0.17183859098069454, 4, 1179151]","[0, 1, 1, 0.17183859098069454, 7, 409396]","[0, 1, 1, 0.17183859098069454, 5, 3917921]"
"[0, 2, 1, 1.483712522330337, 0, 0]","[0, 2, 1, 1.483712522330337, 5, 3921813]","[0, 2, 1, 1.483712522330337, 7, 13790]","[0, 2, 1, 1.483712522330337, 7, 415001]","[0, 2, 1, 1.483712522330337, 3, 90358]"
"[0, 1, 3, 0.3506502049966985, 0, 0]","[0, 1, 3, 0.3506502049966985, 3, 91377]","[0, 1, 3, 0.3506502049966985, 7, 415875]","[0, 1, 3, 0.3506502049966985, 7, 49009]","[0, 1, 3, 0.3506502049966985, 5, 3936085]"
"[0, 1, 3, 0.3515625492741533, 0, 0]","[0, 1, 3, 0.3515625492741533, 0, 0]","[0, 1, 3, 0.3515625492741533, 0, 0]","[0, 1, 3, 0.3515625492741533, 0, 0]","[0, 1, 3, 0.3515625492741533, 5, 3986422]"
"[0, 1, 3, 0.41901795202243997, 0, 0]","[0, 1, 3, 0.41901795202243997, 0, 0]","[0, 1, 3, 0.41901795202243997, 0, 0]","[0, 1, 3, 0.41901795202243997, 0, 0]","[0, 1, 3, 0.41901795202243997, 5, 4004410]"
"[0, 1, 3, 0.8935903373996424, 0, 0]","[0, 1, 3, 0.8935903373996424, 0, 0]","[0, 1, 3, 0.8935903373996424, 0, 0]","[0, 1, 3, 0.8935903373996424, 0, 0]","[0, 1, 3, 0.8935903373996424, 0, 0]"
"[0, 1, 0, 1.914556794857635, 0, 0]","[0, 1, 0, 1.914556794857635, 0, 0]","[0, 1, 0, 1.914556794857635, 0, 0]","[0, 1, 0, 1.914556794857635, 0, 0]","[0, 1, 0, 1.914556794857635, 5, 4027243]"
"[0, 1, 0, 0.22155501596544233, 0, 0]","[0, 1, 0, 0.22155501596544233, 0, 0]","[0, 1, 0, 0.22155501596544233, 0, 0]","[0, 1, 0, 0.22155501596544233, 0, 0]","[0, 1, 0, 0.22155501596544233, 5, 4146299]"
"[0, 1, 0, 1.3871586736879202, 0, 0]","[0, 1, 0, 1.3871586736879202, 0, 0]","[0, 1, 0, 1.3871586736879202, 0, 0]","[0, 1, 0, 1.3871586736879202, 0, 0]","[0, 1, 0, 1.3871586736879202, 5, 4230391]"
