"[0, 1, 1, 0.25693339026600326, 5, 2361659]","[0, 1, 1, 0.25693339026600326, 2, 50155]","[0, 1, 1, 0.25693339026600326, 14, 2411290]","[0, 1, 1, 0.25693339026600326, 7, 170913]","[0, 1, 1, 0.25693339026600326, 7, 116035]"
"[0, 1, 0, 0.0, 2, 60428]","[0, 1, 0, 0.0, 5, 2450452]","[0, 1, 0, 0.0, 3, 313914]","[0, 1, 0, 0.0, 7, 175452]","[0, 1, 0, 0.0, 4, 1091289]"
"[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 0, 0]","[0, 1, 0, 0.0, 5, 2461104]","[0, 1, 0, 0.0, 4, 1763379]"
"[0, 1, 0, 0.0, 2, 67492]","[0, 1, 0, 0.0, 5, 2489511]","[0, 1, 0, 0.0, 4, 2974745]","[0, 1, 0, 0.0, 7, 184244]","[0, 1, 0, 0.0, 4, 214]"
"[0, 1, 0, 0.0, 1, 405586]","[0, 1, 0, 0.0, 4, 3118948]","[0, 1, 0, 0.0, 5, 2529457]","[0, 1, 0, 0.0, 7, 193517]","[0, 1, 0, 0.0, 4, 69634]"
"[0, 1, 0, 0.0, 4, 304840]","[0, 1, 0, 0.0, 4, 3122757]","[0, 1, 0, 0.0, 1, 419748]","[0, 1, 0, 0.0, 7, 206926]","[0, 1, 0, 0.0, 14, 2730205]"
"[0, 1, 1, 1.1575589991406878, 3, 268689]","[0, 1, 1, 1.1575589991406878, 4, 254222]","[0, 1, 1, 1.1575589991406878, 4, 4632146]","[0, 1, 1, 1.1575589991406878, 5, 879976]","[0, 1, 1, 1.1575589991406878, 7, 377351]"
"[0, 1, 0, 0.824653966289542, 0, 0]","[0, 1, 0, 0.824653966289542, 0, 0]","[0, 1, 0, 0.824653966289542, 0, 0]","[0, 1, 0, 0.824653966289542, 5, 891577]","[0, 1, 0, 0.824653966289542, 7, 428081]"
"[0, 1, 0, 0.15942660384973545, 0, 0]","[0, 1, 0, 0.15942660384973545, 0, 0]","[0, 1, 0, 0.15942660384973545, 4, 4796158]","[0, 1, 0, 0.15942660384973545, 7, 429796]","[0, 1, 0, 0.15942660384973545, 14, 2499272]"
"[0, 1, 0, 0.15063182333454883, 0, 0]","[0, 1, 0, 0.15063182333454883, 0, 0]","[0, 1, 0, 0.15063182333454883, 0, 0]","[0, 1, 0, 0.15063182333454883, 0, 0]","[0, 1, 0, 0.15063182333454883, 14, 3367118]"
